                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.4137,                0.78704,                 1.1461,                0.79143,                0.74157,                0.80939,                0.44004,                 1.6652,                0.79985,                 1.2779,             0.00096125,             0.00096125,             0.00096125
                     72,                 1.4357,                0.80349,                 1.1513,                 0.8241,                0.74616,                0.80098,                0.41004,                 1.7334,                0.82567,                 1.3327,             0.00095712,             0.00095712,             0.00095712
                     73,                 1.4335,                0.79865,                 1.1418,                0.77444,                0.78894,                0.82484,                0.42657,                 1.6956,                0.82448,                 1.2962,               0.000953,               0.000953,               0.000953
                     74,                 1.4133,                0.76854,                 1.1373,                0.78428,                0.74074,                0.77896,                 0.4066,                 1.6985,                0.91291,                 1.2956,             0.00094887,             0.00094887,             0.00094887
                     75,                 1.4321,                0.80572,                 1.1486,                0.75998,                0.69178,                0.73396,                0.39497,                 1.7062,                0.86088,                 1.3146,             0.00094475,             0.00094475,             0.00094475
                     76,                 1.4189,                0.79045,                 1.1461,                0.78054,                0.79483,                0.79308,                0.42066,                 1.6805,                0.81192,                 1.3176,             0.00094062,             0.00094062,             0.00094062
                     77,                 1.4242,                0.79231,                 1.1444,                0.78209,                0.77165,                0.81233,                0.44553,                 1.6833,                0.78449,                 1.3161,              0.0009365,              0.0009365,              0.0009365
                     78,                 1.4132,                0.77425,                 1.1293,                0.85835,                0.81189,                0.88683,                0.46664,                 1.6568,                0.77458,                 1.2957,             0.00093238,             0.00093238,             0.00093238
                     79,                 1.4067,                0.75977,                 1.1323,                 0.7986,                0.74715,                0.78125,                0.39431,                 1.6959,                0.84228,                 1.3009,             0.00092825,             0.00092825,             0.00092825
                     80,                 1.4066,                0.77298,                 1.1263,                0.81991,                0.81665,                0.87158,                0.43015,                 1.7004,                0.85669,                 1.3137,             0.00092413,             0.00092413,             0.00092413
                     81,                 1.4056,                0.77454,                 1.1362,                0.87614,                0.84135,                0.88622,                0.45691,                 1.6722,                0.77778,                 1.3032,                0.00092,                0.00092,                0.00092
                     82,                 1.4054,                0.77804,                 1.1394,                0.79067,                0.75392,                0.80197,                0.43588,                 1.6362,                 0.7612,                 1.2847,             0.00091588,             0.00091588,             0.00091588
                     83,                 1.3855,                0.75036,                 1.1215,                0.83557,                0.82597,                0.84431,                0.44355,                 1.6685,                0.76649,                  1.282,             0.00091175,             0.00091175,             0.00091175
                     84,                 1.3786,                0.74937,                 1.1302,                0.87459,                0.77571,                0.85541,                0.44126,                 1.6641,                0.78998,                  1.291,             0.00090763,             0.00090763,             0.00090763
                     85,                  1.387,                0.73835,                 1.1252,                0.87943,                0.62578,                0.74605,                0.40849,                 1.6729,                0.88127,                 1.3123,              0.0009035,              0.0009035,              0.0009035
                     86,                  1.396,                0.76544,                 1.1301,                 0.8014,                0.83954,                0.85046,                0.44565,                 1.7047,                0.76749,                 1.3136,             0.00089938,             0.00089938,             0.00089938
                     87,                 1.3916,                0.75081,                 1.1152,                0.87176,                0.75347,                0.85105,                0.46523,                 1.6405,                0.73056,                 1.2708,             0.00089525,             0.00089525,             0.00089525
                     88,                 1.3771,                0.74472,                  1.118,                0.74435,                0.81331,                0.82534,                0.44854,                 1.6699,                0.78787,                 1.2978,             0.00089112,             0.00089112,             0.00089112
                     89,                 1.3464,                0.72362,                 1.1071,                0.77472,                0.83216,                0.85239,                0.47089,                  1.628,                0.74064,                 1.2711,               0.000887,               0.000887,               0.000887
                     90,                 1.3646,                0.72412,                 1.1057,                0.79106,                0.87532,                0.85637,                0.44404,                 1.6663,                0.74215,                 1.2823,             0.00088288,             0.00088288,             0.00088288
                     91,                 1.3572,                0.73564,                 1.1077,                0.84448,                0.87805,                0.89017,                0.47761,                 1.6287,                0.71648,                 1.2664,             0.00087875,             0.00087875,             0.00087875
                     92,                 1.3669,                0.71504,                 1.1075,                0.81881,                0.80325,                0.82826,                0.43577,                 1.6725,                 0.7504,                 1.2966,             0.00087462,             0.00087462,             0.00087462
                     93,                 1.3476,                   0.71,                 1.1126,                 0.8477,                0.70175,                 0.8102,                0.45262,                 1.6487,                0.80007,                 1.2735,              0.0008705,              0.0008705,              0.0008705
                     94,                 1.3568,                0.71758,                 1.1089,                0.87901,                0.70546,                0.78183,                0.41587,                  1.676,                0.79911,                 1.3129,             0.00086637,             0.00086637,             0.00086637
                     95,                 1.3374,                 0.7123,                 1.1016,                0.85292,                0.79994,                0.85115,                0.44408,                 1.6511,                0.72952,                 1.3047,             0.00086225,             0.00086225,             0.00086225
                     96,                  1.387,                 0.7292,                 1.1135,                0.81447,                0.83231,                0.83931,                0.43215,                 1.6715,                0.76427,                 1.3017,             0.00085813,             0.00085813,             0.00085813
                     97,                 1.3429,                0.72215,                 1.0998,                 0.8704,                0.82961,                0.88522,                0.47021,                  1.632,                0.72412,                 1.2722,               0.000854,               0.000854,               0.000854
                     98,                 1.3431,                0.70265,                 1.0959,                0.81524,                0.80012,                0.83509,                 0.4322,                 1.6742,                0.77746,                 1.2795,             0.00084988,             0.00084988,             0.00084988
                     99,                 1.3153,                0.69758,                 1.0953,                0.88896,                0.79973,                0.86571,                0.44882,                 1.6645,                0.72905,                 1.2967,             0.00084575,             0.00084575,             0.00084575
                    100,                 1.3302,                0.69604,                 1.1062,                0.86239,                0.83305,                0.86112,                0.46728,                 1.6528,                0.72338,                 1.2886,             0.00084162,             0.00084162,             0.00084162
                    101,                 1.3219,                0.69037,                 1.0957,                0.90103,                0.85527,                0.88381,                0.48448,                 1.6111,                0.71406,                 1.2701,              0.0008375,              0.0008375,              0.0008375
                    102,                 1.3021,                0.68318,                 1.0878,                 0.8912,                0.85374,                0.89717,                 0.4704,                  1.649,                0.71812,                 1.2977,             0.00083337,             0.00083337,             0.00083337
                    103,                 1.3142,                0.68105,                 1.0925,                0.84636,                0.80691,                0.86232,                0.45117,                 1.6421,                0.69313,                 1.3021,             0.00082925,             0.00082925,             0.00082925
                    104,                 1.3149,                0.69431,                 1.0898,                0.90514,                0.79128,                 0.8838,                0.48306,                 1.6302,                0.70842,                 1.2794,             0.00082513,             0.00082513,             0.00082513
                    105,                 1.2965,                0.67796,                 1.0841,                0.81384,                0.84321,                0.87676,                0.43806,                 1.6674,                0.72839,                 1.3148,               0.000821,               0.000821,               0.000821
                    106,                 1.3055,                0.68323,                 1.0888,                0.87711,                0.84793,                0.88666,                0.47968,                 1.6247,                0.69504,                 1.2737,             0.00081688,             0.00081688,             0.00081688
                    107,                 1.2791,                0.66169,                 1.0728,                0.88916,                0.83067,                0.89539,                 0.4626,                 1.6251,                0.70165,                 1.2777,             0.00081275,             0.00081275,             0.00081275
                    108,                 1.3018,                 0.6748,                 1.0845,                 0.8465,                0.81974,                0.84834,                0.43805,                 1.6788,                 0.7395,                 1.3264,             0.00080863,             0.00080863,             0.00080863
                    109,                  1.307,                0.68719,                  1.087,                0.81877,                0.82331,                0.87586,                0.46171,                  1.604,                0.67945,                 1.2558,              0.0008045,              0.0008045,              0.0008045
                    110,                 1.3127,                 0.6816,                 1.0807,                0.87225,                0.83113,                0.87036,                0.46446,                 1.6066,                0.69423,                  1.264,             0.00080038,             0.00080038,             0.00080038
                    111,                 1.2829,                0.66588,                 1.0822,                 0.8317,                0.81718,                0.84543,                0.46598,                 1.6143,                0.70773,                  1.275,             0.00079625,             0.00079625,             0.00079625
                    112,                 1.2982,                0.67658,                 1.0853,                0.87147,                0.85059,                0.89338,                0.48033,                 1.6185,                0.69587,                 1.3047,             0.00079213,             0.00079213,             0.00079213
                    113,                 1.2667,                0.65792,                 1.0664,                 0.8927,                0.80734,                0.88798,                 0.4752,                 1.6388,                0.70567,                 1.2976,               0.000788,               0.000788,               0.000788
                    114,                 1.2868,                0.66486,                 1.0794,                0.85198,                0.75702,                0.83969,                0.44646,                  1.641,                0.72005,                 1.2998,             0.00078387,             0.00078387,             0.00078387
                    115,                 1.2883,                0.66258,                 1.0804,                0.91044,                0.85003,                0.87503,                0.48675,                 1.6054,                0.68809,                 1.2907,             0.00077975,             0.00077975,             0.00077975
                    116,                 1.2597,                0.65462,                 1.0753,                0.89792,                0.82859,                  0.896,                0.49126,                 1.5949,                0.67082,                  1.273,             0.00077563,             0.00077563,             0.00077563
                    117,                 1.2929,                0.66775,                 1.0848,                0.86867,                0.85004,                0.89712,                0.49061,                 1.6111,                 0.6837,                 1.2707,              0.0007715,              0.0007715,              0.0007715
                    118,                 1.2733,                0.64088,                 1.0715,                0.81276,                0.83877,                0.82354,                 0.4618,                 1.6312,                0.68868,                 1.2768,             0.00076738,             0.00076738,             0.00076738
                    119,                 1.2538,                0.63645,                  1.069,                0.91092,                0.81934,                0.89583,                0.49836,                 1.5963,                0.67466,                  1.268,             0.00076325,             0.00076325,             0.00076325
                    120,                 1.2482,                 0.6416,                 1.0663,                 0.8108,                0.82505,                0.82958,                0.46153,                 1.6482,                0.70537,                 1.2937,             0.00075912,             0.00075912,             0.00075912
                    121,                 1.2668,                0.65541,                 1.0661,                0.85951,                0.83937,                0.87549,                0.46068,                 1.6578,                0.69942,                 1.3048,               0.000755,               0.000755,               0.000755
                    122,                 1.2578,                0.64645,                 1.0713,                0.88848,                0.85126,                0.89587,                0.48542,                 1.6056,                0.68726,                 1.2845,             0.00075088,             0.00075088,             0.00075088
                    123,                 1.2587,                0.64577,                 1.0694,                0.86267,                0.72619,                0.79539,                 0.4405,                 1.6415,                0.75867,                 1.2736,             0.00074675,             0.00074675,             0.00074675
                    124,                 1.2746,                0.65509,                 1.0692,                0.86158,                 0.8406,                0.84908,                0.45797,                 1.6262,                0.69384,                 1.2982,             0.00074263,             0.00074263,             0.00074263
                    125,                 1.2289,                0.62862,                  1.054,                0.93611,                0.86443,                0.90312,                0.47409,                 1.6176,                0.66051,                 1.2751,              0.0007385,              0.0007385,              0.0007385
                    126,                 1.2534,                  0.633,                 1.0623,                0.92273,                0.81746,                0.89935,                0.49282,                 1.6151,                0.69337,                 1.2647,             0.00073437,             0.00073437,             0.00073437
                    127,                 1.2216,                0.62486,                 1.0474,                0.92564,                0.80661,                0.89195,                0.49758,                 1.6295,                 0.6866,                 1.2815,             0.00073025,             0.00073025,             0.00073025
                    128,                 1.2568,                0.64036,                 1.0659,                0.84847,                0.87495,                0.88337,                0.48754,                 1.6028,                0.68337,                 1.2865,             0.00072612,             0.00072612,             0.00072612
                    129,                 1.2424,                0.62267,                 1.0612,                0.88952,                0.87827,                0.91623,                 0.4837,                 1.5911,                0.65931,                 1.2939,               0.000722,               0.000722,               0.000722
                    130,                 1.2316,                0.61659,                 1.0612,                0.91301,                0.83102,                0.90462,                 0.4883,                 1.6093,                0.65741,                 1.2746,             0.00071788,             0.00071788,             0.00071788
                    131,                 1.2202,                0.63251,                 1.0625,                0.92783,                0.84397,                0.90274,                0.50059,                 1.5733,                0.65325,                 1.2752,             0.00071375,             0.00071375,             0.00071375
                    132,                  1.218,                0.61585,                 1.0464,                0.93503,                0.86255,                0.92552,                0.49579,                 1.5615,                0.65246,                 1.2674,             0.00070962,             0.00070962,             0.00070962
                    133,                 1.2294,                0.63568,                 1.0575,                0.92329,                0.83062,                0.91761,                0.49968,                 1.6003,                0.65635,                 1.2844,              0.0007055,              0.0007055,              0.0007055
                    134,                 1.2363,                0.62256,                 1.0621,                0.85868,                0.90262,                 0.9135,                0.51213,                 1.5606,                0.64791,                 1.2478,             0.00070137,             0.00070137,             0.00070137
                    135,                 1.2292,                0.61108,                 1.0592,                0.91955,                0.85111,                0.92478,                0.49571,                 1.6076,                0.65615,                  1.293,             0.00069725,             0.00069725,             0.00069725
                    136,                 1.2195,                 0.6233,                 1.0515,                0.91343,                0.86115,                0.91918,                0.49909,                 1.5922,                0.64999,                 1.2883,             0.00069313,             0.00069313,             0.00069313
                    137,                 1.1968,                0.59676,                  1.042,                0.90716,                0.88749,                0.92846,                 0.4885,                 1.6023,                0.65342,                 1.2955,               0.000689,               0.000689,               0.000689
                    138,                 1.1895,                0.60504,                  1.045,                0.87155,                0.82058,                0.85864,                0.46982,                 1.6028,                0.66664,                 1.2887,             0.00068488,             0.00068488,             0.00068488
                    139,                  1.217,                0.61088,                 1.0506,                0.91537,                0.87296,                0.89861,                0.49623,                 1.5849,                0.64109,                  1.278,             0.00068075,             0.00068075,             0.00068075
                    140,                 1.1925,                 0.6028,                 1.0419,                0.87931,                0.86798,                0.92161,                0.49737,                 1.5742,                0.62945,                  1.279,             0.00067663,             0.00067663,             0.00067663
                    141,                  1.185,                0.59756,                 1.0375,                0.92527,                0.86916,                0.91939,                0.50356,                 1.5756,                0.63317,                 1.2678,              0.0006725,              0.0006725,              0.0006725
                    142,                 1.1948,                0.60295,                 1.0432,                0.92933,                0.86427,                0.92209,                0.50969,                 1.5744,                0.63882,                 1.2663,             0.00066838,             0.00066838,             0.00066838
                    143,                 1.2086,                0.61752,                 1.0521,                 0.8727,                0.86419,                0.90996,                0.49915,                 1.5649,                0.64745,                 1.2746,             0.00066425,             0.00066425,             0.00066425
                    144,                 1.1847,                0.60223,                 1.0301,                0.91836,                0.83917,                0.89846,                0.47981,                  1.559,                0.64048,                 1.2631,             0.00066013,             0.00066013,             0.00066013
                    145,                 1.1794,                0.59902,                   1.04,                0.92115,                0.83972,                0.91199,                 0.4964,                 1.5794,                0.65147,                 1.2828,               0.000656,               0.000656,               0.000656
                    146,                 1.1786,                0.60717,                 1.0404,                0.91633,                0.84654,                0.90762,                0.50691,                 1.5582,                 0.6339,                 1.2603,             0.00065188,             0.00065188,             0.00065188
                    147,                 1.1785,                 0.6006,                 1.0327,                0.90856,                0.84724,                0.89624,                0.48828,                 1.5787,                0.65541,                  1.288,             0.00064775,             0.00064775,             0.00064775
                    148,                 1.1893,                0.59539,                  1.042,                0.87058,                0.86464,                0.89766,                0.49898,                 1.5709,                 0.6483,                  1.259,             0.00064362,             0.00064362,             0.00064362
                    149,                  1.156,                0.58064,                 1.0286,                0.91978,                0.85416,                0.90397,                0.49255,                 1.5652,                0.63462,                 1.2603,              0.0006395,              0.0006395,              0.0006395
                    150,                 1.1738,                0.58012,                 1.0332,                0.91426,                0.82275,                0.90252,                  0.496,                 1.5642,                  0.645,                 1.2696,             0.00063538,             0.00063538,             0.00063538
                    151,                 1.1786,                0.59294,                 1.0312,                0.89709,                0.84859,                 0.9185,                0.49995,                 1.5621,                0.64349,                 1.2593,             0.00063125,             0.00063125,             0.00063125
